seed,alpha,nominal,cov_two,n_cert_two,width_two,frac_withheld_two,cov_one,n_cert_one,width_one,mean_cert_two,mean_cert_one
20260023,0.05,0.95,,0,,1.0,0.8636363636363636,22,106.41780644673662,0.0,85.628127232087
20260023,0.02,0.98,,0,,1.0,1.0,18,137.0809144534527,0.0,70.96256686744228
20260024,0.3,0.7,0.42857142857142855,7,34.346308347499736,0.8478260869565217,0.5714285714285714,35,53.90289238848282,129.45485069203073,100.99533582153005
20260024,0.2,0.8,0.3333333333333333,3,53.66815034636181,0.9347826086956522,0.5517241379310345,29,67.56315411080956,100.56981068021395,106.49223059649843
20260024,0.1,0.9,,0,,1.0,0.6071428571428571,28,76.75794807430108,0.0,100.90715256735302
20260024,0.05,0.95,,0,,1.0,1.0,22,125.10758437707099,0.0,74.77820742143336
20260024,0.02,0.98,,0,,1.0,1.0,7,211.92052544875474,0.0,73.885927308378
20260025,0.3,0.7,0.25,4,51.5076489333828,0.9130434782608696,0.25806451612903225,31,56.24405846511733,91.42273392509466,90.32219321797808
20260025,0.2,0.8,0.3333333333333333,3,66.22775366091804,0.9347826086956522,0.3333333333333333,30,69.50868370532837,77.5226526321528,80.03430036764942
20260025,0.1,0.9,,0,,1.0,0.37037037037037035,27,76.25469487772595,0.0,81.68842982225688
20260025,0.05,0.95,,0,,1.0,0.4583333333333333,24,97.35603310683882,0.0,70.12518475197201
20260025,0.02,0.98,,0,,1.0,0.65,20,110.12086692658879,0.0,70.36058328015255
20260026,0.3,0.7,0.8,5,50.62290820509898,0.8913043478260869,0.5217391304347826,23,70.55183203660232,75.13566288694673,82.42076351231515
20260026,0.2,0.8,1.0,1,71.06669649639596,0.9782608695652174,0.5652173913043478,23,73.36922803686434,62.69921531380706,79.60336751205314
20260026,0.1,0.9,,0,,1.0,0.8421052631578947,19,92.90828462960717,0.0,75.24365052404453
20260026,0.05,0.95,,0,,1.0,0.8421052631578947,19,95.28375975461397,0.0,72.86817539903775
20260026,0.02,0.98,,0,,1.0,0.8571428571428571,14,117.41996111699932,0.0,73.43278181928792
20260027,0.3,0.7,1.0,5,45.25130761287113,0.8913043478260869,0.5666666666666667,30,56.74827820858773,40.94192185942596,56.76563468728581
20260027,0.2,0.8,,0,,1.0,0.6363636363636364,22,75.8815046080967,0.0,54.361453175416926
20260027,0.1,0.9,,0,,1.0,0.7692307692307693,13,101.2599116208443,0.0,61.06183378053787
20260027,0.05,0.95,,0,,1.0,1.0,10,132.18138216738924,0.0,46.53682435261571
20260027,0.02,0.98,,0,,1.0,1.0,4,165.99003069586934,0.0,49.459528707961596
20260028,0.3,0.7,0.5714285714285714,14,66.26242049410666,0.6956521739130435,0.5,36,48.62929145647053,80.8736092536514,91.0527893205172
20260028,0.2,0.8,0.5,10,67.06006573672619,0.782608695652174,0.6060606060606061,33,63.66099614373733,86.06855054546024,83.97439608829549
20260028,0.1,0.9,0.5,4,88.53977173800956,0.9130434782608696,0.6785714285714286,28,78.0049305474146,78.78226575891915,83.8893216972384
20260028,0.05,0.95,1.0,1,88.53977173800956,0.9782608695652174,0.7407407407407407,27,88.53977173800958,79.63026958204489,76.36045702260107
20260028,0.02,0.98,,0,,1.0,0.8148148148148148,27,92.70129029433227,0.0,72.19893846627839
20260029,0.3,0.7,1.0,8,59.73994613074984,0.8222222222222222,0.8125,32,45.92331632155849,36.990451882197036,97.73054027277124
20260029,0.2,0.8,1.0,2,103.43944819028565,0.9555555555555556,0.8387096774193549,31,59.73994613074983,37.46380617180749,86.75807003340643
20260029,0.1,0.9,,0,,1.0,0.9523809523809523,21,102.15464348703935,0.0,77.6736192022277
20260029,0.05,0.95,,0,,1.0,0.95,20,109.66594485188338,0.0,73.88837302329351
20260029,0.02,0.98,,0,,1.0,0.9473684210526315,19,112.95204430783689,0.0,74.3718793353546
